company_name,occupation,region,rating,recommend,pros,cons,burnout_exhaustion_flag,burnout_exhaustion_terms,compassion_fatigue_flag,compassion_fatigue_terms,management_frustration_flag,management_frustration_terms,fulfillment_purpose_flag,fulfillment_purpose_terms,salary_dissatisfaction_flag,salary_dissatisfaction_terms,turnover_instability_flag,turnover_instability_terms,job_satisfaction_flag,job_satisfaction_terms,team_support_flag,team_support_terms,pride_recognition_flag,pride_recognition_terms,healthy_balance_flag,healthy_balance_terms,pros_sentiment,cons_sentiment,invisible_labor_score,positive_experience_score
HealthTrust Workforce Solutions,Nurse,,4.0,positive,"Customizable schedule, 12 hour shifts",No benefits or guaranteed hours as PRN employee,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,customizable schedule,0.0,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,West,2.0,negative,I had great co-workers here and was paid well.,Extremely money hungry. The higher up and big wigs only care about money. Seriously. They're all about doing favors to people and don't care about stepping on anyone's toes while they're at it. They ask for advice from employees then don't follow it. They have fired multiple friends of mine then replaced them with family friends... Seems sketchy? Yeah. It is. All they care about it making money. It has been declining for the past 10 years and will continue. Stay away.,0,,0,,1,"money hungry, don't follow it",0,,0,,0,,0,,1,great co-workers,0,,0,,0.1111111111111111,0.0,1.0,0.75
HealthTrust Workforce Solutions,Nurse,,5.0,positive,Transparent leadership culture of safety,"Pay could be more competitive especially since it is difficult to obtain staff in our area Advance is difficult, people stay in their positions for a long time",0,,0,,1,leadership,0,,1,pay could be more competitive,1,"advance is difficult, stay in their positions for a long time",0,,0,,0,,0,,0.0,-0.07142857142857142,0.5,0.0
HealthTrust Workforce Solutions,Nurse,West,3.0,positive,"Very nice people, hard working","Very matrixed, unwelcoming to ideas from outside Utah. Only benchmark against themselves.",0,,0,,1,unwelcoming,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.5,0.0
HealthTrust Workforce Solutions,Nurse,West,3.1,positive,"Great Benefits, supportive environment, average pay",Don't listen well to employees,0,,0,,1,don't listen,0,,0,,0,,0,,0,,0,,0,,0.3333333333333333,0.0,0.5,0.0
Intermountain Health,Nurse,West,3.0,negative,Tuition reimbursement and contracts with various schools to reduce cost,"No pension and high cost for insurance, even high deductible",0,,0,,0,,0,,1,high cost for insurance,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
Intermountain Health,Nurse,,5.0,positive,Ratios were decent 1:4-5 MS but recently changed to 1:5 day 1:6 night,Ratios and acuity are getting worse,0,,1,acuity,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.75,0.0
Intermountain Health,Nurse,,4.0,,"Great manager, makes it flexible to work with kids","Average base salary, but does have incentive shifts",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.2222222222222222,0.0,0.0,0.5
Intermountain Health,Nurse,West,5.0,positive,Helpful staff that answer questions,Lots of patients on your own,0,,1,lots of patients,0,,0,,0,,0,,0,,1,helpful staff,0,,0,,0.2,0.0,0.75,0.75
Intermountain Health,Nurse,West,4.0,,Leadership was accessible and flexible,Pay is very low compared to rising cost of living in Utah,0,,0,,1,leadership,0,,1,pay is,0,,0,,0,,0,,1,flexible,0.2,0.0,0.5,0.5
Intermountain Health,Nurse,,5.0,,"Benefits, structure, coworkers, training, location","Hours, on call, getting called off",1,"on call, getting called off",0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,2.0,0.0
Intermountain Health,Nurse,,4.0,positive,"Customizable schedule, 12 hour shifts",No benefits or guaranteed hours as PRN employee,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,customizable schedule,0.0,0.0,0.0,0.5
